,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
10,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,Puffin Web Browser,커뮤니케이션,명장무쌍-진 조운 무쌍,롤플레잉,Blast Punk!,캐주얼 게임,프린세스 커넥트! Re:Dive,롤플레잉,Rummikub,보드,Google,도구,올리브영,쇼핑,배달요기요,식음료,콜 오브 듀티: 모바일,액션,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,트립스토어 - 해외 패키지 & 에어텔 특가 비교,여행 및 지역정보
11,쿠팡 (Coupang),쇼핑,"커넥츠: 무료 공부질문 앱-500만 다운로드 (문제해설, 노하우, 과외, 인강)",교육,배달의민족,식음료,배달요기요,식음료,한국투자증권 (스마트폰 계좌개설),금융,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,공장 합병,퍼즐,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,에이블리 - 셀럽마켓 모음앱,쇼핑,워너비챌린지,시뮬레이션,배달의민족,식음료
12,SoundCloud - 음악과 오디오,음악/오디오,쿠팡 (Coupang),쇼핑,브롤스타즈,액션,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,바이오인증 공동앱,금융,궁수의 전설,액션,배달의민족,식음료,Merge Airships,기타,피망 섯다,카드,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의,퍼즐,SODA 소다 - Natural Beauty Camera,사진,에이블리 - 셀럽마켓 모음앱,쇼핑
13,원더쇼핑:인기쇼핑몰/핫딜/여행쿠폰/웹툰/위메프투어/위메프페이,쇼핑,Netflix(넷플릭스),엔터테인먼트,TikTok 틱톡,동영상 플레이어/편집기,Run Race 3D,스포츠,토스,금융,Netflix(넷플릭스),엔터테인먼트,손오공디펜스,전략,배달요기요,식음료,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,카카오톡 KakaoTalk,커뮤니케이션,YouTube,동영상 플레이어/편집기,"네이버 지도, 내비게이션",여행 및 지역정보
14,배달의민족,식음료,NAVER VIBE (바이브),음악/오디오,토스,금융,디펜스어벤저,전략,카카오뱅크 - 같지만 다른 은행,금융,Fun Race 3D,엔터테인먼트,트리플 - 해외여행 가이드,여행 및 지역정보,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,TikTok 틱톡,동영상 플레이어/편집기,Instagram,소셜,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,YouTube,동영상 플레이어/편집기
15,국세청 홈택스,도구,배달의민족,식음료,Netflix(넷플릭스),엔터테인먼트,재벌 양성기 3,Simulation,SODA 소다 - Natural Beauty Camera,사진,i-ONE Bank - IBK기업은행,금융,배달요기요,식음료,토스,금융,쌍삼국지,롤플레잉,카카오뱅크 - 같지만 다른 은행,금융,V LIVE,엔터테인먼트,카카오뱅크 - 같지만 다른 은행,금융
16,Instagram,소셜,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,프린세스 커넥트! Re:Dive,롤플레잉,"극한직업:RICH-재벌 키우기 전략 SRPG, 독창적인 시뮬레이션 게임",시뮬레이션,i-ONE Bank - IBK기업은행,금융,배달의민족,식음료,한국장학재단,교육,SODA 소다 - Natural Beauty Camera,사진,Netflix(넷플릭스),엔터테인먼트,KB국민은행 스타뱅킹,금융,Netflix(넷플릭스),엔터테인먼트,한국장학재단,교육
17,YouTube,동영상 플레이어/편집기,YouTube,동영상 플레이어/편집기,YouTube,동영상 플레이어/편집기,바이오인증 공동앱,금융,SOVS2 - 포즈 카메라,Photo & Video,TikTok 틱톡,동영상 플레이어/편집기,Battle Disc,시뮬레이션,에이블리 - 셀럽마켓 모음앱,쇼핑,배달의민족,식음료,Netflix(넷플릭스),엔터테인먼트,Instagram,소셜,TikTok 틱톡,동영상 플레이어/편집기
18,배달요기요,식음료,Instagram,소셜,Instagram,소셜,킹스로드,롤플레잉,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",사진,삼국지킹덤디펜스,전략,aquapark.io,액션,SRT - 수서고속철도(NEW),여행 및 지역정보,Marbleous 3D,기타,배달의민족,식음료,카카오톡 KakaoTalk,커뮤니케이션,Instagram,소셜
19,브롤스타즈,액션,토스,금융,카카오톡 KakaoTalk,커뮤니케이션,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,Rummikub,보드,Polysphere,아케이드,프랭크워즈(Prank Wars) - 기막히는 장난전화,시뮬레이션,골든나이츠 유니버스,롤플레잉,으라차차 돌격 라그나로크,롤플레잉,네이버 - NAVER,도서/참고자료,"네이버 지도, 내비게이션",여행 및 지역정보,Rummikub,보드
20,토스,금융,TikTok 틱톡,동영상 플레이어/편집기,뱅크샐러드,금융,한국투자증권 (스마트폰 계좌개설),금융,뱅크샐러드,금융,토스,금융,토스,금융,Netflix(넷플릭스),엔터테인먼트,라이즈 오브 킹덤즈,전략,쿠팡 (Coupang),쇼핑,배달의민족,식음료,해피해피브레드 for Kakao 귀여운 고양이 베이커리,캐주얼 게임
21,Crowd City,아케이드,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,Meitu 메이투 - 뷰티 셀카 / 동영상 기능 / 재밌는 보정 / 사진 편집,사진,콘트라: 리턴즈,액션,maybe-메이비:내가 만드는 이야기,시뮬레이션,아리엘,롤플레잉,Fun Race 3D,엔터테인먼트,한게임 포커,카지노,리치리치,시뮬레이션,SRT - 수서고속철도(NEW),여행 및 지역정보,(New) 우리은행 우리WON뱅킹,금융,카카오톡 KakaoTalk,커뮤니케이션
22,올리브영,쇼핑,배틀그라운드,액션,SNOW 스노우,사진,LIFEPLUS,라이프스타일,배달의민족,식음료,잼라이브 (JAM LIVE) - 라이브 예능&쇼핑,엔터테인먼트,쿠팡 (Coupang),쇼핑,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",카지노,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,네이버 웹툰 - Naver Webtoon,만화,네이버 - NAVER,도서/참고자료,토스,금융
23,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,Cube Escape: Paradox KR,Puzzle,국세청 홈택스,도구,Draw it,아케이드,Auto Chess,전략,i-ONE Bank - IBK기업은행,금융,Sand Balls,퍼즐,던전앤어비스: 방치형 RPG,롤플레잉,피망 뉴맞고 : 고스톱으로 대한민국 1등,카드,쿠팡 (Coupang),쇼핑,닌자대전,롤플레잉
24,에브리타임 - 시간표 & 대학교 커뮤니티,소셜,카카오톡 KakaoTalk,커뮤니케이션,브랜디 - 여성들의 쇼핑맛집,쇼핑,NH스마트뱅킹,금융,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,한국 택시미터,기타,YouTube,동영상 플레이어/편집기,YouTube,동영상 플레이어/편집기,SRT - 수서고속철도(NEW),여행 및 지역정보,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,게임빌프로야구 슈퍼스타즈,스포츠,쿠키런 for Kakao,어드벤처
25,카카오톡 KakaoTalk,커뮤니케이션,네이버 - NAVER,도서/참고자료,NH스마트뱅킹,금융,CGV,엔터테인먼트,올리브영,쇼핑,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,Instagram,소셜,Google,도구,Paint The Maze,기타,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,브랜디 - 여성들의 쇼핑맛집,쇼핑,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션
26,츠키의 모험 (Tsuki),어드벤처,세븐 - 액션게임의 통쾌하고 짜릿한 맛 그대로,Action,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,쿠팡 (Coupang),쇼핑,배달요기요,식음료,YouTube,동영상 플레이어/편집기,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,Rummikub,보드,Instagram,소셜,스타벅스,엔터테인먼트,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,네이버 - NAVER,도서/참고자료
27,TikTok 틱톡,동영상 플레이어/편집기,[공식]고속버스 티머니,지도/내비게이션,네이버 - NAVER,도서/참고자료,"네이버 지도, 내비게이션",여행 및 지역정보,0한동,라이프스타일,쿠팡 (Coupang),쇼핑,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,Instagram,소셜,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑,Hunter Assassin,액션,카카오뱅크 - 같지만 다른 은행,금융,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어
28,CGV,엔터테인먼트,코레일톡,여행 및 지역정보,쿠팡 (Coupang),쇼핑,Mr Bullet - 스파이 퍼즐,퍼즐,YouTube,동영상 플레이어/편집기,Mr Bullet - 스파이 퍼즐,퍼즐,Kakao TV Live - 카카오 TV 라이브,엔터테인먼트,배달의민족,식음료,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,Facebook,소셜,알바몬 맞춤알바,비즈니스,바비톡 - 대한민국 1등 성형앱 & 뷰티 커뮤니티,뷰티
29,지도,여행 및 지역정보,Color Bump 3D,아케이드,Gentle Sniper,아케이드,YouTube,동영상 플레이어/편집기,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,PayProtocol Wallet(페이 프로토콜) - PCI(페이코인) 결제/송금,금융,TikTok 틱톡,동영상 플레이어/편집기,카카오뱅크 - 같지만 다른 은행,금융,쿠팡 (Coupang),쇼핑,"네이버 지도, 내비게이션",여행 및 지역정보,네이버 웹툰 - Naver Webtoon,만화,배달요기요,식음료
30,[공식]고속버스 티머니,지도/내비게이션,Shoot n Merge - Block puzzle,퍼즐,"AliExpress - 스마트한쇼핑, 더즐거운생활",쇼핑,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,Instagram,소셜,Instagram,소셜,공차,라이프스타일,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,YouTube,동영상 플레이어/편집기,Rescue Cut - Rope Puzzle,기타,Enlight Pixaloop,사진,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보
31,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,네이버 파파고 - AI 통번역,도구,Facebook,소셜,Instagram,소셜,UNIQLO KR,라이프스타일,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,카카오뱅크 - 같지만 다른 은행,금융,트리플 - 해외여행 가이드,여행 및 지역정보,Xprofile,도구,Icing On The Cake,시뮬레이션,LIFEPLUS,라이프스타일,Disc Hopper,기타
32,네이버 - NAVER,도서/참고자료,"T map 택시 - 티맵택시,T맵택시",지도/내비게이션,passport,쇼핑,SOVS2 - 포즈 카메라,Photo & Video,Run Race 3D,스포츠,SERIES - 네이버 시리즈,도서/참고자료,좀비 스트라이커：데스 서바이벌 AFK RPG,롤플레잉,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,Rummikub,보드,FLO – 플로,음악/오디오,Facebook,소셜,Best Nine Yearly for Instagram,Photo & Video
33,배틀그라운드,액션,Facebook,소셜,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,Turbo VPN Private Browser,Productivity,네이버 파파고 - AI 통번역,도구,당근마켓 - 우리 동네 중고 직거래 벼룩장터,쇼핑,위플리 Weply,쇼핑,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,배달요기요,식음료,배달요기요,식음료,국방모바일보안,비즈니스
34,네이버 파파고 - AI 통번역,도구,ISP/페이북,금융,Messenger,커뮤니케이션,Angry Birds AR: Isle of Pigs,Simulation,Egg Shot,Board,카카오뱅크 - 같지만 다른 은행,금융,AIA Vitality x T건강습관,건강/운동,쿠팡 (Coupang),쇼핑,"네이버 지도, 내비게이션",여행 및 지역정보,리브,금융,SNOW 스노우,사진,SNOW 스노우,사진
35,Facebook,소셜,밴드,소셜,멜론,음악/오디오,토스,금융,NH스마트뱅킹,금융,NAVER VIBE (바이브),음악/오디오,코레일톡,여행 및 지역정보,카카오톡 KakaoTalk,커뮤니케이션,서울자전거 따릉이 (Seoul Public Bike),지도/내비게이션,멜론,음악/오디오,NH스마트뱅킹,금융,BlockuDoku - 블록 퍼즐,기타
36,삼국지 조운장군전 - 캐주얼 전략 RPG 게임,롤플레잉,[공식]시외버스 티머니,지도/내비게이션,Cube Escape: Theatre KR,Puzzle,ISP/페이북,금융,쿠팡 (Coupang),쇼핑,브롤스타즈,액션,카카오페이,금융,"네이버 지도, 내비게이션",여행 및 지역정보,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,Facebook,소셜
37,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,마켓컬리-내일의 장보기,식음료,재벌 양성기 3,Simulation,에이블리 - 셀럽마켓 모음앱,쇼핑,Netflix(넷플릭스),엔터테인먼트,Cooking Chef,Trivia,[공식]시외버스 티머니,지도/내비게이션,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑,FLO – 플로,음악/오디오,브랜디 - 여성들의 쇼핑맛집,쇼핑,Messenger,커뮤니케이션,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",여행 및 지역정보
38,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,Twist Hit!,캐주얼 게임,Zenly 젠리 - 친한 친구끼리,소셜,에이블리 - 셀럽마켓 모음앱,쇼핑,카카오톡 KakaoTalk,커뮤니케이션,[공식]고속버스 티머니,지도/내비게이션,i-ONE Bank - IBK기업은행,금융,카카오뱅크 - 같지만 다른 은행,금융,NAVER VIBE (바이브),음악/오디오,라스트오리진,롤플레잉,코레일톡,여행 및 지역정보
39,[공식]시외버스 티머니,지도/내비게이션,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,배틀그라운드,액션,롯데시네마,엔터테인먼트,잼라이브 (JAM LIVE) - 라이브 예능&쇼핑,엔터테인먼트,Blast Punk!,캐주얼 게임,카카오톡 KakaoTalk,커뮤니케이션,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,네이버 파파고 - AI 통번역,도구,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,도구,킹 오브 타워,전략,알바몬 맞춤알바,비즈니스
40,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보,Messenger,커뮤니케이션,Cube Escape: Seasons KR,Puzzle,Meow Guardians,Role Playing,카카오톡 KakaoTalk,커뮤니케이션,네이버 - NAVER,도서/참고자료,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,네이버 - NAVER,도서/참고자료,오늘도 우라라 원시 헌팅 라이프,롤플레잉,네이버 파파고 - AI 통번역,도구,알바천국- 알바 구인구직 포털서비스,비즈니스,네이버 웹툰 - Naver Webtoon,만화
41,Messenger,커뮤니케이션,지도,여행 및 지역정보,Zenly 젠리 - 친한 친구끼리,소셜,브롤스타즈,액션,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,Soccer Table,기타,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,아이돌마스터 밀리언 라이브! 시어터 데이즈,음악,브랜디 - 여성들의 쇼핑맛집,쇼핑,Messenger,커뮤니케이션,Rummikub,보드,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑
42,멜론,음악/오디오,브롤스타즈,액션,술게임 - 술자리오락실,라이프스타일,카카오톡 KakaoTalk,커뮤니케이션,Zenly 젠리 - 친한 친구끼리,소셜,Snowball Battle,Adventure,"네이버 지도, 내비게이션",여행 및 지역정보,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,I Peel Good,시뮬레이션,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,BlockuDoku - 블록 퍼즐,기타,스타벅스,엔터테인먼트
43,SNOW 스노우,사진,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,점과박자 (Dot n Beat)-손의 속도 테스트,음악,네이버 파파고 - AI 통번역,도구,Merge Planes Go Idle Tap Mania. Best Puzzle Game.,퍼즐,Snapchat,소셜,쿠팡이츠 - 맛있는 음식을 빠르고 편하게,식음료,TikTok 틱톡,동영상 플레이어/편집기,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,Johnny Trigger,액션
44,Fate Predict: 미래 예측,Entertainment,SNOW 스노우,사진,밴드,소셜,TikTok 틱톡,동영상 플레이어/편집기,SNOW 스노우,사진,술게임 - 술자리오락실,라이프스타일,궁수의 전설,액션,멜론,음악/오디오,멜론,음악/오디오,SSG.COM,쇼핑,멜론,음악/오디오,지도,여행 및 지역정보
45,스텔라M,롤플레잉,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,Mr Bullet - 스파이 퍼즐,퍼즐,카카오페이지 KakaoPage,도서/참고자료,ISP/페이북,금융,Draw it,아케이드,네이버 파파고 - AI 통번역,도구,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기,TheDayBefore (디데이 위젯),라이프스타일,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑,ISP/페이북,금융,Chrome: 빠르고 안전한 브라우저,커뮤니케이션
46,ISP/페이북,금융,Zenly 젠리 - 친한 친구끼리,소셜,Cube Escape: Arles KR,Puzzle,네이버 - NAVER,도서/참고자료,네이버 - NAVER,도서/참고자료,점과박자 (Dot n Beat)-손의 속도 테스트,음악,SRT - 수서고속철도(NEW),여행 및 지역정보,[공식]고속버스 티머니,지도/내비게이션,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,ISP/페이북,금융,CGV,엔터테인먼트,운전면허 PLUS - 운전면허필기시험 (최신판 100%무료),교육
47,한국장학재단,교육,알바천국- 알바 구인구직 포털서비스,비즈니스,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,"네이버 지도, 내비게이션",여행 및 지역정보,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,ISP/페이북,금융,[공식]시외버스 티머니,지도/내비게이션,나우(NOW) : REMEET,롤플레잉,i-ONE Bank - IBK기업은행,금융,Puffin Browser Lite,기타,Messenger,커뮤니케이션
48,코레일톡,여행 및 지역정보,삼국지 조운장군전 - 캐주얼 전략 RPG 게임,롤플레잉,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,메가박스(MEGABOX),엔터테인먼트,TikTok 틱톡,동영상 플레이어/편집기,네이버 파파고 - AI 통번역,도구,네이버 - NAVER,도서/참고자료,Facebook,소셜,Chrome: 빠르고 안전한 브라우저,커뮤니케이션,NH스마트뱅킹,금융,디펜스어벤저,전략,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",동영상 플레이어/편집기
49,다방 - 대한민국 부동산 매물 최다보유,부동산/홈 인테리어,트리플 - 해외여행 가이드,여행 및 지역정보,"네이버 지도, 내비게이션",여행 및 지역정보,NAVER VIBE (바이브),음악/오디오,SRT - 수서고속철도(NEW),여행 및 지역정보,Jetpack Jump,아케이드,NAVER VIBE (바이브),음악/오디오,Messenger,커뮤니케이션,모바일 관세청,비즈니스,TheDayBefore (디데이 위젯),라이프스타일,지니 뮤직 - genie,음악/오디오,[공식]고속버스 티머니,지도/내비게이션
50,밴드,소셜,멜론,음악/오디오,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,크레이지아케이드 BnB M,아케이드,Messenger,커뮤니케이션,트리플 - 해외여행 가이드,여행 및 지역정보,Auto Chess,전략,SNOW 스노우,사진,SNOW 스노우,사진,네이버 클라우드 - NAVER Cloud,생산성,트립스토어 - 해외 패키지 & 에어텔 특가 비교,여행 및 지역정보,차이 - 결제마다 할인받는 간편결제,금융
51,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑,Party.io,Action,Dream Piano - Music Game,음악,셀렉트숍 무신사 - SELECT SHOP MUSINSA,쇼핑,Facebook,소셜,CGV,엔터테인먼트,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,네이버 - NAVER,도서/참고자료,밴드,소셜,SRT - 수서고속철도(NEW),여행 및 지역정보,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트
