,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
23,Google Play 게임,엔터테인먼트,V3 Mobile Plus 2.0,도구,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,모바일 관세청,비즈니스,NH스마트뱅킹,금융,Monster School for Minecraft,엔터테인먼트
24,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어,배달요기요,식음료,EBS 초등,교육,배달의민족,식음료,T map - 내비게이션 / 지도,지도/내비게이션,"실시간 무료 TV - 지상파, 종합편성, 케이블 무료 티비",동영상 플레이어/편집기
25,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,ZOOM Cloud Meetings,비즈니스,"PASS by U+(구, U+인증)",금융,"롯데 ON - 롯데닷컴 (Lotte.com 롯데,백화점,홈쇼핑,쇼핑)",쇼핑,농협몰,쇼핑,"네이버 지도, 내비게이션",여행 및 지역정보
26,Facebook,소셜,Android 시스템 WebView,도구,Facebook,소셜,"네이버 지도, 내비게이션",여행 및 지역정보,밴드,소셜,V3 Mobile Plus 2.0,도구
27,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,"네이버 지도, 내비게이션",여행 및 지역정보,NH스마트뱅킹,금융,VITA,동영상 플레이어/편집기,VITA,동영상 플레이어/편집기
28,밴드,소셜,"미스터트롯 무료듣기 – 미스터트롯 트로트 메들리 – 미스터트롯 방송영상, 예선 참가곡 듣기",음악/오디오,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",동영상 플레이어/편집기,"PASS by SK TELECOM(구, T인증)",금융,삼성카드,금융,쿠팡이츠 - 맛있는 음식을 빠르고 편하게,식음료
29,정부24(구 민원24),생산성,SEIO Agent,도구,카카오뱅크 - 같지만 다른 은행,금융,티머니페이(BETA),금융,"실시간 무료 TV - 지상파, 종합편성, 케이블 무료 티비",동영상 플레이어/편집기,할인중독,쇼핑
30,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,Google Play 게임,엔터테인먼트,TikTok 틱톡,동영상 플레이어/편집기,할인중독,쇼핑,에이블리 - 셀럽마켓 모음앱,쇼핑,"파도 MP3 무료 음악 다운, PADO MP3 노래 다운",음악/오디오
31,KB국민은행 스타뱅킹,금융,한컴오피스 viewer,생산성,"미스터트롯 무료듣기 – 미스터트롯 트로트 메들리 – 미스터트롯 방송영상, 예선 참가곡 듣기",음악/오디오,삼성 음성 녹음,도구,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,에이블리 - 셀럽마켓 모음앱,쇼핑
32,한컴오피스 viewer,생산성,Facebook,소셜,Wish - 쇼핑은 즐겁다,쇼핑,배달요기요,식음료,배달요기요,식음료,카카오내비,지도/내비게이션
33,터치엔 엠백신 for Web(기업용),금융,NH스마트뱅킹,금융,올리브영,쇼핑,T map - 내비게이션 / 지도,지도/내비게이션,FLO – 플로,음악/오디오,한컴오피스 viewer,생산성
34,롯데마트 M쿠폰,쇼핑,"미스터트롯 임영웅 노래모음 무료 - 임영웅 콘서트,방송,노래",음악/오디오,"하이클래스-알림장, 가정통신문, 하이톡",교육,V LIVE,엔터테인먼트,카카오뱅크 - 같지만 다른 은행,금융,"PASS by U+(구, U+인증)",금융
35,TikTok 틱톡,동영상 플레이어/편집기,토스,금융,클래스팅 - 학교 플랫폼,교육,"임영웅 무료듣기 – 미스터트롯 임영웅 메들리 – 미스터트롯 임영웅 방송, 예선 참가곡 듣기",음악/오디오,4shared,엔터테인먼트,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",소셜
36,T map - 내비게이션 / 지도,지도/내비게이션,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑,ISP/페이북,금융,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",지도/내비게이션,스타벅스,엔터테인먼트
37,ISP/페이북,금융,"코로나 알리미 - 우한 폐렴, 코로나 바이러스, 중국 폐렴, 바이러스",의료,삼성 음성 녹음,도구,카카오뱅크 - 같지만 다른 은행,금융,Facebook,소셜,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보
38,i-ONE Bank - IBK기업은행,금융,밴드,소셜,SNOW 스노우,사진,정부24(구 민원24),생산성,NH콕뱅크,금융,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",쇼핑
39,삼성카드,금융,"키즈노트::유치원,어린이집,학원 필수 앱!",커뮤니케이션,SERIES - 네이버 시리즈,도서/참고자료,Google Play 게임,엔터테인먼트,정부24(구 민원24),생산성,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",여행 및 지역정보
40,휴대폰 인증서 서비스(유비키_UBIKey),금융,"AliExpress - 스마트한쇼핑, 더즐거운생활",쇼핑,스마트 공지시스템 e알리미,커뮤니케이션,삼성카드,금융,온통대전,금융,QR & 바코드 스캐너 (한국어),생산성
41,SERIES - 네이버 시리즈,도서/참고자료,카카오뱅크 - 같지만 다른 은행,금융,T map - 내비게이션 / 지도,지도/내비게이션,터치엔 엠백신 for Web(기업용),금융,터치엔 엠백신 for Web(기업용),금융,SODA 소다 - Natural Beauty Camera,사진
42,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,부동산/홈 인테리어,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,NH스마트뱅킹,금융,청약홈,금융,신한페이판,금융,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),쇼핑
43,바이오인증 공동앱,금융,타임커머스 티몬,쇼핑,"굿닥 – 마스크스캐너, 병원 약국 찾기",건강/운동,KT 금융유심관리,금융,네이버 웹툰 - Naver Webtoon,만화,FLO – 플로,음악/오디오
44,네이버 파파고 - AI 통번역,도구,(New) 우리은행 우리WON뱅킹,금융,정부24(구 민원24),생산성,Facebook,소셜,스타벅스,엔터테인먼트,밴드,소셜
45,NH콕뱅크,금융,아이디어스(idus) - 핸드메이드/수공예 장터,쇼핑,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),여행 및 지역정보,카카오내비,지도/내비게이션,"AI 토익 튜터, 산타",교육
46,다방 - 대한민국 부동산 매물 최다보유,부동산/홈 인테리어,청약홈,금융,"미스터트롯 임영웅 노래모음 무료 - 임영웅 콘서트,방송,노래",음악/오디오,멜론,음악/오디오,멜론,음악/오디오,마켓컬리-내일의 장보기,식음료
47,브랜디 - 여성들의 쇼핑맛집,쇼핑,삼성카드,금융,멜론,음악/오디오,핀크 Finnq,금융,Google Play 게임,엔터테인먼트,wavve(웨이브) - 재미의 파도를 타다!,엔터테인먼트
48,"파일썬 공식앱 - 최신영화,드라마,예능,애니,웹툰 무료 다시보기",엔터테인먼트,코로나맵 - 코로나알리미,건강/운동,키움증권 계좌개설,금융,공구마켓,쇼핑,Wish - 쇼핑은 즐겁다,쇼핑,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",부동산/홈 인테리어
49,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,금융,에이블리 - 셀럽마켓 모음앱,쇼핑,부산 동백전,금융,4shared,엔터테인먼트,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,금융,전자출입명부(시설용) 보건복지부,건강/운동
