,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
41,Feica - 나의 첫번째 필름 카메라,Photo & Video,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,Analog Portland,Photo & Video,Analog London,Photo & Video,서울 2033 : 후원자,어드벤처,Feica - 나의 첫번째 필름 카메라,Photo & Video
42,Analog Portland,Photo & Video,포켓 빌드,시뮬레이션,nPlayer - The best media player,Entertainment,Analog Seoul,Photo & Video,Feica - 나의 첫번째 필름 카메라,Photo & Video,"편한가계부 (+음성, PC)",금융
43,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",Productivity,Rummikub,보드,NewBorder - 뉴보더 여백의 미,Photo & Video,Isoland,Adventure,Geometry Dash,아케이드,Kingdom Rush Origins,전략
44,포켓 빌드,시뮬레이션,Dead Cells,기타,Kipkam,Health & Fitness,"편한가계부 (+음성, PC)",금융,NBA 2K20,스포츠,Procreate Pocket,Entertainment
45,Rusty Lake Hotel KR,Adventure,Feica - 나의 첫번째 필름 카메라,Photo & Video,Do Not Feed the Monkeys,기타,The White Door,어드벤처,Human: Fall Flat,퍼즐,Wordmaster 워드마스터 수능 2000(18개정),Education
46,개념 한국사,교육,Ski Safari 2,아케이드,TouchRetouch,사진,SOVS - 촬영부탁 필수앱,사진,Procreate Pocket,Entertainment,금손카메라,기타
47,Terraria,어드벤처,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",Productivity,Feica - 나의 첫번째 필름 카메라,Photo & Video,Geometry Dash,아케이드,Streaks,Health & Fitness,ilSang Pro,Photo & Video
48,Analog Acoustic,Photo & Video,"편한가계부 (+음성, PC)",금융,NBA 2K20,스포츠,위플 가계부,Finance,Rusty Lake Hotel KR,Adventure,서울 2033 : 유시진,어드벤처
49,Dead Cells,기타,Doodle God™,퍼즐,위플 가계부,Finance,To the Moon,롤플레잉,Alien: Blackout,Action,포켓 빌드,시뮬레이션
50,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,"PLOT - 플롯, 나의 이야기",Photo & Video,Getting Over It with Bennett Foddy,시뮬레이션,Notability,Productivity,Rusty Lake Paradise KR,Adventure,Streaks,Health & Fitness
51,삼국지 한말패업,전략,Terraria,어드벤처,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,Goblin Sword,Role Playing,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진
52,Wordmaster 워드마스터 수능 2000(18개정),Education,European War 6: 1914,기타,RFS - Real Flight Simulator,시뮬레이션,"PLOT - 플롯, 나의 이야기",Photo & Video,SleepTown: 건강한 수면 습관 익히기,Health & Fitness,60 Seconds! Atomic Adventure,어드벤처
53,서울 2033 : 후원자,어드벤처,Alien: Blackout,Action,Notability,Productivity,Mr. Pumpkin Adventure HD,Strategy,Rusty Lake: Roots KR,Adventure,미니 메트로,시뮬레이션
54,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,룸즈: 장난감 장인의 저택,퍼즐,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,Worms 4,전략,The White Door,어드벤처
55,Analog Beijing,Photo & Video,NewBorder - 뉴보더 여백의 미,Photo & Video,Hidden Through Time,기타,SleepTown: 건강한 수면 습관 익히기,Health & Fitness,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성
56,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,길고양이 이야기 : support edition,어드벤처,Wordmaster 워드마스터 수능 2000(18개정),Education,Kingdom Two Crowns,기타,NeuralCam - Night Mode Camera,기타,Marvis Pro,Music
57,위젯 캘린더,Lifestyle,위젯 캘린더,Lifestyle,Streaks,Health & Fitness,Getting Over It with Bennett Foddy,시뮬레이션,Puffin Browser Pro,커뮤니케이션,한국사 능력,Education
58,위플 가계부,Finance,Tank Hero,아케이드,Analog Acoustic,Photo & Video,Analog Portland,Photo & Video,Analog London,Photo & Video,kirakira+,Photo & Video
59,Streaks,Health & Fitness,Analog Acoustic,Photo & Video,Beholder,어드벤처,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",Productivity,던전 서바이벌,롤플레잉,Analog London,Photo & Video
60,SleepTown: 건강한 수면 습관 익히기,Health & Fitness,Alto s Odyssey,액션,Analog Beijing,Photo & Video,삼국지 한말패업,전략,Draw Chilly,기타,Song of Bloom,기타
61,ilSang Pro,Photo & Video,투넘버 문자,Lifestyle,Euclidean Skies,Adventure,Streaks,Health & Fitness,미루,기타,킹덤 러쉬 벤전스 (Kingdom Rush Vengeance),전략
62,Rummikub,보드,Doodle Jump,아케이드,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,Photo & Video,Analog Seoul,Photo & Video,Analog Budapest,Photo & Video
63,미니 메트로,시뮬레이션,Incredibox,음악,Puffin Browser Pro,커뮤니케이션,Rummikub,보드,Getting Over It with Bennett Foddy,시뮬레이션,삼국지 한말패업,전략
64,Doodle Jump,아케이드,데이그램 - 하루 한줄 일기장,라이프스타일,BFT - Bear Focus Timer,Utilities,Alook 브라우저 - 2 배속,Utilities,던전메이커,전략,미루,기타
65,Rusty Lake: Roots KR,Adventure,Analog Portland,Photo & Video,ilSang Pro,Photo & Video,CAMERA0 - 무음 고화질 매너 카메라 앱,기타,Splendor,보드,FILCA - SLR 필름 카메라,Photo & Video
66,FEELT,Photo & Video,Notability,Productivity,서울 2033 : 후원자,어드벤처,"Peace, Death!",아케이드,마녀의 샘4,롤플레잉,Splendor,보드
67,오투잼 - 뮤직 & 게임,기타,Vector for iPhone,Arcade,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,Photo & Video,FINAL FANTASY VI,롤플레잉,Dead Cells,기타,SOVS - 촬영부탁 필수앱,사진
68,NewBorder - 뉴보더 여백의 미,Photo & Video,Human: Fall Flat,퍼즐,Rusty Lake Hotel KR,Adventure,LumaFusion,Photo & Video,TouchRetouch,사진,The Almost Gone,기타
69,레이튼 교수와 이상한 마을 HD,어드벤처,TouchRetouch,사진,Flashcards Deluxe,교육,Alien: Blackout,Action,Alook 브라우저 - 2 배속,Utilities,데이그램 - 하루 한줄 일기장,라이프스타일
70,Blink - 빠른 메모 블링크,Productivity,오투잼 - 뮤직 & 게임,기타,봄날 - Season Camera (시즌카메라),사진,MyToday,Lifestyle,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,Kingdom Rush Frontiers,전략
71,기획사 스토리♪,시뮬레이션,던전 서바이벌,롤플레잉,"계획표는, 동그라미 - 일정관리 앱과 위젯",기타,European War 6: 1914,기타,RFS - Real Flight Simulator,시뮬레이션,Rebel Inc. (반란 주식회사),시뮬레이션
72,ProCam 2 - 카메라와 사진 / 동영상 에디터,Photo & Video,Aquarium Tycoon,기타,오투잼 - 뮤직 & 게임,기타,Procreate Pocket,Entertainment,백점+,Entertainment,TouchRetouch,사진
73,Alook 브라우저 - 2 배속,Utilities,To the Moon,롤플레잉,迷失岛3宇宙的尘埃,기타,데이그램 - 하루 한줄 일기장,라이프스타일,데이그램 - 하루 한줄 일기장,라이프스타일,RightFont,기타
74,Agent A - 숨겨진 퍼즐,퍼즐,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,Photo & Video,Poly Bridge,Puzzle,Bloons TD 6,전략,Hyper Light Drifter,기타,오투잼 - 뮤직 & 게임,기타
75,Song of Bloom,기타,Kingdom Rush Frontiers,전략,RightFont,기타,RightFont,기타,FEELT,Photo & Video,Notability,Productivity
76,Amazing Frog?,Action,Wordmaster 워드마스터 수능 2000(18개정),Education,Hero Siege: 포켓 에디션,롤플레잉,Age of Civilizations II,전략,60 Seconds! Atomic Adventure,어드벤처,BADLAND,어드벤처
77,"BookTree: 도서 관리, 밑줄 및 독서 노트",Books,마녀의 샘4,롤플레잉,TEDICT - TED로 영어를 배우세요,교육,Rebel Inc. (반란 주식회사),시뮬레이션,The Room: Old Sins,퍼즐,Word master 워드마스터 수능 2000(개정),교육
78,Muse Dash,음악,Alto s Adventure,액션,연락처++ (그룹관리/초성검색다이얼/백업/메일/메시지/정리),Utilities,FINAL FANTASY III,롤플레잉,Analog Beijing,Photo & Video,Membership Widget Pro,Finance
79,Pou,캐주얼 게임,Splendor,보드,Bloons TD 6,전략,Human: Fall Flat,퍼즐,Analog Acoustic,Photo & Video,지겨워하지마: VIP (방치형 RPG 게임),롤플레잉
80,Procreate Pocket,Entertainment,Florence,퍼즐,위젯 캘린더,Lifestyle,Instax - Instant Photo Maker,Photo & Video,NightCap Pro,Photo & Video,Bloons TD 6,전략
81,60 Seconds! Atomic Adventure,어드벤처,Pulse Oximeter - Heart and Oxygen Monitor App - with Health and HealthKit Integration,Health & Fitness,데이그램 - 하루 한줄 일기장,라이프스타일,Splendor,보드,레이튼 교수와 이상한 마을 HD,어드벤처,True Skate,스포츠
82,Rusty Lake Paradise KR,Adventure,PL@Y - 프리미엄 티켓북,Lifestyle,Blink - 빠른 메모 블링크,Productivity,미로섬2: 시간의 잿더미,퍼즐,Bloons TD 6,전략,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처
83,Human: Fall Flat,퍼즐,워터파크 스토리,시뮬레이션,FEELT,Photo & Video,Monument Valley 2,퍼즐,언노운 나이츠,롤플레잉,Duologue,기타
84,NightCap Pro,Photo & Video,연락처++ (그룹관리/초성검색다이얼/백업/메일/메시지/정리),Utilities,MyToday,Lifestyle,Cytus,아케이드,RightFont,기타,CampNight - 자연의 소리 수면 타이머,기타
85,8-STEP 영어회화 - 패턴 영어 회화 능력을 향상시키세요.,Education,FEELT,Photo & Video,Rummikub,보드,Analog Beijing,Photo & Video,Tempo - Metronome 메트로놈,Music,PL@Y - 프리미엄 티켓북,Lifestyle
86,TouchRetouch,사진,Poly Bridge,Puzzle,길고양이 이야기 : support edition,어드벤처,VINYL - Kyoto,기타,DRAGON QUEST,롤플레잉,던전공주,롤플레잉
87,Tempo - Metronome 메트로놈,Music,마녀의 샘,롤플레잉,Agent A - 숨겨진 퍼즐,퍼즐,Membership Widget Pro,Finance,만화와 텍스트 - TXT 와 압축파일(+ PDF) 뷰어,Books,Alien: Blackout,Action
88,European War 6: 1914,기타,Rusty Lake Hotel KR,Adventure,iReal Pro ? 음악 책 & 합주,Music,TouchRetouch,사진,삼국지 한말패업,전략,LumaFusion,Photo & Video
89,Pirates Outlaws,카드,Old Man s Journey,어드벤처,European War 6: 1914,기타,회독JLPT,Education,Terraria,어드벤처,The Room: Old Sins,퍼즐
90,한국사 능력,Education,Isoland,Adventure,Euclidean Lands,Adventure,Calculator,Education,BADLAND,어드벤처,레이튼 교수와 이상한 마을 HD,어드벤처
91,Tank Hero,아케이드,RFS - Real Flight Simulator,시뮬레이션,Cute Emoticon Keyboard,Social Networking,Analog Acoustic,Photo & Video,Calculator,Education,Alook 브라우저 - 2 배속,Utilities
92,우리말 공부,교육,삼국지 한말패업,전략,"BookTree: 도서 관리, 밑줄 및 독서 노트",Books,RollerCoaster Tycoon® Classic,시뮬레이션,오드마,어드벤처,위플 가계부,Finance
93,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,Photo & Video,FILCA - SLR 필름 카메라,Photo & Video,Terraria,어드벤처,"전국여행지도 - 에이든, 국내여행지 1000개 총정리",기타,Analog Portland,Photo & Video,WolframAlpha,도서/참고자료
94,Bloons TD 6,전략,Cytus II (사이터스Ⅱ),음악,폴라리스 오피스 5 (POLARIS Office 5) - 마이크로소프트 오피스 문서 편집,Productivity,Tempo - Metronome 메트로놈,Music,FILCA - SLR 필름 카메라,Photo & Video,Portal Knights,어드벤처
95,RFS - Real Flight Simulator,시뮬레이션,던전메이커,전략,WolframAlpha,도서/참고자료,"BookTree: 도서 관리, 밑줄 및 독서 노트",Books,위플 가계부,Finance,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일
96,Membership Widget Pro,Finance,서울 2033 : 후원자,어드벤처,The Room Three,Adventure,R-Play - PS4를 위한 리모트 플레이,Entertainment,LumaFusion,Photo & Video,마녀의 샘,롤플레잉
97,Ski Safari,아케이드,Cute Emoticon Keyboard,Social Networking,겨울날 - Season Camera (시즌카메라),사진,Word master 워드마스터 수능 2000(개정),교육,Street Fighter IV CE,Arcade,Terraria,어드벤처
98,언투다이2 (Earn to Die 2),자동차 경주,Rusty Lake: Roots KR,Adventure,이태리사진관,Photo & Video,PL@Y - 프리미엄 티켓북,Lifestyle,폴라리스 오피스 5 (POLARIS Office 5) - 마이크로소프트 오피스 문서 편집,Productivity,BADLAND 2,어드벤처
99,Kingdom Rush Frontiers,전략,hocus.,퍼즐,Muse Dash,음악,Pascal s Wager,기타,Don t Starve: Pocket Edition,어드벤처,Bloons TD 5,전략
