,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
24,Facetune - 무광고 버전,사진,Analog Acoustic,Photo & Video,Facetune - 무광고 버전,사진,Analog London,Photo & Video,Analog Budapest,Photo & Video,레이튼 교수와 이상한 마을 HD,어드벤처,8-STEP 영어회화 - 패턴 영어 회화 능력을 향상시키세요.,Education,Forest: 집중하기,생산성,Analog London,Photo & Video,GoodNotes 5,Productivity,Human Anatomy Atlas 2017 Edition - Complete 3D Human Body,Medical,ilSang Pro,Photo & Video
25,Analog Portland,Photo & Video,로그하츠,롤플레잉,Rush Rally 2,자동차 경주,길고양이 이야기 : support edition,어드벤처,쉐프 우마미,Family,위대한 정복자: 로마,전략,Football Manager 2019 Mobile,스포츠,Analog Budapest,Photo & Video,Analog Jeju,Photo & Video,Analog Budapest,Photo & Video,Analog Jeju,Photo & Video,Facetune - 무광고 버전,사진
26,Analog Beijing,Photo & Video,Analog Beijing,Photo & Video,레드호른가의 탐정,어드벤처,ilSang Pro,Photo & Video,미니 메트로,시뮬레이션,Rummikub,보드,Severed,Action,ilSang Pro,Photo & Video,백화점 스토리2,시뮬레이션,CamScanner+,Productivity,Raid Manager,기타,Monument Valley,퍼즐
27,Analog Acoustic,Photo & Video,레이튼 교수와 이상한 마을 HD,어드벤처,Rebel Inc. (반란 주식회사),시뮬레이션,Rummikub,보드,에버테일,롤플레잉,NewBorder - 뉴보더 여백의 미,Photo & Video,Analog London,Photo & Video,FEELT,Photo & Video,Forest: 집중하기,생산성,Analog London,Photo & Video,오드마,어드벤처,nPlayer - The best media player,Entertainment
28,kirakira+,Photo & Video,Poly Bridge,Puzzle,Analog Portland,Photo & Video,CHRONO TRIGGER (Upgrade Ver.),롤플레잉,nPlayer - The best media player,Entertainment,구닥,사진,Feica - 나의 첫번째 필름 카메라,Photo & Video,지겨워하지마: VIP (방치형 RPG 게임),롤플레잉,Analog Budapest,Photo & Video,ilSang Pro,Photo & Video,Analog Seoul,Photo & Video,재벌도시 스토리,캐주얼 게임
29,데이그램 - 하루 한줄 일기장,라이프스타일,TouchRetouch,사진,DEEMO,음악,DEEMO,음악,GoodNotes 4 - 메모와 PDF,Productivity,A Dance Of Fire and Ice,음악,A Dance Of Fire and Ice,음악,Terraria,어드벤처,nPlayer - The best media player,Entertainment,갓피플성경,도서/참고자료,DEEMO,음악,Forest: 집중하기,생산성
30,레이튼 교수와 이상한 마을 HD,어드벤처,ilSang Pro,Photo & Video,My Child Lebensborn,Simulation,Kingdom Rush Frontiers,전략,Analog Portland,Photo & Video,카툰 크래프트,전략,ilSang Pro,Photo & Video,8-STEP 영어회화 - 패턴 영어 회화 능력을 향상시키세요.,Education,Kingdom Rush Frontiers,전략,kirakira+,Photo & Video,구닥,사진,Alto s Odyssey,액션
31,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Feica - 나의 첫번째 필름 카메라,Photo & Video,데이그램 - 하루 한줄 일기장,라이프스타일,Geometry Dash,아케이드,kirakira+,Photo & Video,DEEMO,음악,NewBorder - 뉴보더 여백의 미,Photo & Video,Feica - 나의 첫번째 필름 카메라,Photo & Video,Geometry Dash,아케이드,위젯 캘린더,Lifestyle,nPlayer - The best media player,Entertainment,Analog Jeju,Photo & Video
32,Space Marshals,액션,Cute Emoticon Keyboard,Social Networking,Pirates Outlaws,카드,세븐데이즈 - 라이트 노벨 어드벤처 .스토리 선택 게임,어드벤처,Geometry Dash,아케이드,Analog Portland,Photo & Video,kirakira+,Photo & Video,kirakira+,Photo & Video,"편한가계부 (+음성, PC)",금융,Pirates Outlaws,카드,Analog London,Photo & Video,kirakira+,Photo & Video
33,Samorost 3 (사모로스트 3),어드벤처,nPlayer - The best media player,Entertainment,당신은 희망 입니다 (You are Hope),롤플레잉,Reigns: 왕좌의 게임,카드,FEELT,Photo & Video,kirakira+,Photo & Video,GoodNotes 4 - 메모와 PDF,Productivity,Rush Rally 2,자동차 경주,Analog Portland,Photo & Video,NBA 2K20,스포츠,Ski Safari,아케이드,Analog London,Photo & Video
34,Poly Bridge,Puzzle,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Kingdom Rush Frontiers,전략,LumaFusion,Photo & Video,DEEMO,음악,Analog Beijing,Photo & Video,룸즈: 장난감 장인의 저택,퍼즐,Geometry Dash,아케이드,레이튼 교수와 이상한 마을 HD,어드벤처,DEEMO,음악,kirakira+,Photo & Video,Hidden Folks,Adventure
35,"편한가계부 (+음성, PC)",금융,"편한가계부 (+음성, PC)",금융,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,Photo & Video,Cute Emoticon Keyboard,Social Networking,길고양이 이야기 : support edition,어드벤처,nPlayer - The best media player,Entertainment,nPlayer - The best media player,Entertainment,Reigns,카드,kirakira+,Photo & Video,Bad North,기타,Analog Budapest,Photo & Video,Analog Budapest,Photo & Video
36,ilSang Pro,Photo & Video,무디 - 영화/드라마 포토 다이어리,Lifestyle,Cute Emoticon Keyboard,Social Networking,Hidden Folks,Adventure,Shadow Of Death: Premium Games,Role Playing,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,개념 한국사,교육,TouchRetouch,사진,오투잼 - 뮤직 & 게임,기타,Football Manager 2019 Mobile,스포츠,Terraria,어드벤처,데이그램 - 하루 한줄 일기장,라이프스타일
37,Cute Emoticon Keyboard,Social Networking,부라보 사진기,Photo & Video,nPlayer - The best media player,Entertainment,Analog Portland,Photo & Video,Analog Beijing,Photo & Video,Rebel Inc. (반란 주식회사),시뮬레이션,Cute Emoticon Keyboard,Social Networking,Rummikub,보드,"PLOT - 플롯, 나의 이야기",Photo & Video,GoodNotes 4 - 메모와 PDF,Productivity,Forest: 집중하기,생산성,GoodNotes 4 - 메모와 PDF,Productivity
38,DEEMO,음악,Reigns,카드,Analog Beijing,Photo & Video,Rebel Inc. (반란 주식회사),시뮬레이션,ilSang Pro,Photo & Video,Analog Acoustic,Photo & Video,Geometry Dash,아케이드,GRIS,Adventure,Rummikub,보드,Forest: 집중하기,생산성,에버테일,롤플레잉,Analog Seoul,Photo & Video
39,무디 - 영화/드라마 포토 다이어리,Lifestyle,GoodNotes 4 - 메모와 PDF,Productivity,Geometry Dash,아케이드,Isoland,Adventure,데이그램 - 하루 한줄 일기장,라이프스타일,Muse Dash,음악,오투잼 - 뮤직 & 게임,기타,갓피플성경,도서/참고자료,갓피플성경,도서/참고자료,Feica - 나의 첫번째 필름 카메라,Photo & Video,"편한가계부 (+음성, PC)",금융,Aquarium Tycoon,기타
40,GoodNotes 4 - 메모와 PDF,Productivity,LumaFusion,Photo & Video,GoodNotes 4 - 메모와 PDF,Productivity,Dokuro,액션,Cute Emoticon Keyboard,Social Networking,Human: Fall Flat,퍼즐,Pirates Outlaws,카드,nPlayer - The best media player,Entertainment,Analog Acoustic,Photo & Video,"편한가계부 (+음성, PC)",금융,Doodle Jump,아케이드,"편한가계부 (+음성, PC)",금융
41,Phone Doctor Plus,도구,당신은 희망 입니다 (You are Hope),롤플레잉,Analog Acoustic,Photo & Video,갓피플성경,도서/참고자료,레이튼 교수와 이상한 마을 HD,어드벤처,TouchRetouch,사진,갓피플성경,도서/참고자료,GoodNotes 5,Productivity,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",Productivity,데이그램 - 하루 한줄 일기장,라이프스타일,ilSang Pro,Photo & Video,Puffin Browser Pro,커뮤니케이션
42,갓피플성경,도서/참고자료,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,Photo & Video,레이튼 교수와 이상한 마을 HD,어드벤처,레이튼 교수와 이상한 마을 HD,어드벤처,Very Little Nightmares,Adventure,"Peace, Death!",아케이드,Terraria,어드벤처,Wordmaster 워드마스터 수능 2000(18개정),Education,NewBorder - 뉴보더 여백의 미,Photo & Video,Puffin Browser Pro,커뮤니케이션,GoodNotes 4 - 메모와 PDF,Productivity,Analog Portland,Photo & Video
43,던전 서바이벌,롤플레잉,Stardew Valley,롤플레잉,kirakira+,Photo & Video,GoodNotes 4 - 메모와 PDF,Productivity,"편한가계부 (+음성, PC)",금융,Death Point,Adventure,DEEMO,음악,오투잼 - 뮤직 & 게임,기타,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,F3ATHER,기타,CamScanner+,Productivity,CamScanner+,Productivity
44,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,DEEMO,음악,RUUD,Photo & Video,Feica - 나의 첫번째 필름 카메라,Photo & Video,"하루 계획표, 학교종이",Lifestyle,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",Productivity,데이그램 - 하루 한줄 일기장,라이프스타일,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,데이그램 - 하루 한줄 일기장,라이프스타일,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,아이언 마린 (Iron Marines),전략
45,The Room: Old Sins,퍼즐,Rogue Cards - 던전 카드,Puzzle,Night of the Full Moon,전략,개념 한국사,교육,Night of the Full Moon,전략,Splendor,보드,Analog Portland,Photo & Video,Analog Portland,Photo & Video,GoodNotes 4 - 메모와 PDF,Productivity,킹덤 러쉬 벤전스 (Kingdom Rush Vengeance),전략,FILCA - SLR 필름 카메라,Photo & Video,위플 가계부,Finance
46,nPlayer - The best media player,Entertainment,Hidden Folks,Adventure,갓피플성경,도서/참고자료,Analog Acoustic,Photo & Video,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Cute Emoticon Keyboard,Social Networking,레이튼 교수와 이상한 마을 HD,어드벤처,LumaFusion,Photo & Video,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,RFS - Real Flight Simulator,시뮬레이션,Undead Horde,기타,Reigns,카드
47,ProCam 2 - 카메라와 사진 / 동영상 에디터,Photo & Video,미니 메트로,시뮬레이션,Cytus II (사이터스Ⅱ),음악,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,Photo & Video,Feica - 나의 첫번째 필름 카메라,Photo & Video,GoodNotes 4 - 메모와 PDF,Productivity,서울 2033 : 후원자,어드벤처,GoodNotes 4 - 메모와 PDF,Productivity,RFS - Real Flight Simulator,시뮬레이션,Rummikub,보드,Doodle God™,퍼즐,삼국지 한말패업,전략
48,Stardew Valley,롤플레잉,"하루 계획표, 학교종이",Lifestyle,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Analog Beijing,Photo & Video,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,Photo & Video,Age of Civilizations II,전략,Age of Civilizations II,전략,레이튼 교수와 이상한 마을 HD,어드벤처,Cute Emoticon Keyboard,Social Networking,Doodle Jump,아케이드,RFS - Real Flight Simulator,시뮬레이션,My Child Lebensborn,Simulation
49,NBA 2K19,스포츠,갓피플성경,도서/참고자료,Mimpi Dreams,어드벤처,SleepTown: 건강한 수면 습관 익히기,Health & Fitness,Kingdom Rush Frontiers,전략,갓피플성경,도서/참고자료,SleepTown: 건강한 수면 습관 익히기,Health & Fitness,"편한가계부 (+음성, PC)",금융,Analog Beijing,Photo & Video,미니 메트로,시뮬레이션,NewBorder - 뉴보더 여백의 미,Photo & Video,FILCA - SLR 필름 카메라,Photo & Video
50,"하루 계획표, 학교종이",Lifestyle,R-Play - PS4를 위한 리모트 플레이,Entertainment,"편한가계부 (+음성, PC)",금융,위젯 캘린더,Lifestyle,Analog Acoustic,Photo & Video,LumaFusion,Photo & Video,Bloons TD 5,전략,DEEMO,음악,던전공주,롤플레잉,Terraria,어드벤처,Hidden Folks,Adventure,VV Clock,기타
51,Just Press Record: Voice and Audio Recorder with Automatic Sync,Utilities,Goblin Sword,Role Playing,리틀베리숲이야기,어드벤처,Construction Simulator 3,시뮬레이션,SleepTown: 건강한 수면 습관 익히기,Health & Fitness,Hitman GO,퍼즐,Analog Beijing,Photo & Video,60 Seconds! Atomic Adventure,어드벤처,LumaFusion,Photo & Video,오투잼 - 뮤직 & 게임,기타,오투잼 - 뮤직 & 게임,기타,Procreate Pocket,Entertainment
52,부라보 사진기,Photo & Video,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,미니 메트로,시뮬레이션,뷰포트 (Viewport),퍼즐,ZAPAN - 자판,Photo & Video,Feica - 나의 첫번째 필름 카메라,Photo & Video,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,우리말 공부,교육,DEEMO,음악,Membership Widget Pro,Finance,Kingdom Rush Frontiers,전략,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성
53,미니 메트로,시뮬레이션,Geometry Dash,아케이드,To the Moon,롤플레잉,Bloons TD 5,전략,갓피플성경,도서/참고자료,Poly Bridge,Puzzle,미니 메트로,시뮬레이션,회전초밥 스토리,캐주얼 게임,NBA 2K20,스포츠,The Swords of Ditto,기타,위젯 캘린더,Lifestyle,Space Marshals,액션
54,트윈프린세스,Simulation,"PLOT - 플롯, 나의 이야기",Photo & Video,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일,iReal Pro ? 음악 책 & 합주,Music,용사민박,시뮬레이션,To the Moon,롤플레잉,Moment - Pro Camera,Photo & Video,길고양이 이야기 : support edition,어드벤처,개념 한국사,교육,Isoland,Adventure,후엠아이: 도로시 이야기,시뮬레이션,Feica - 나의 첫번째 필름 카메라,Photo & Video
55,Amazing Frog?,Action,서울 2033 : 후원자,어드벤처,워터파크 스토리,시뮬레이션,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Terraria,어드벤처,Terraria,어드벤처,Rebel Inc. (반란 주식회사),시뮬레이션,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,"하루 계획표, 학교종이",Lifestyle,개념 한국사,교육,SleepTown: 건강한 수면 습관 익히기,Health & Fitness,Splendor,보드
56,The Room Three,Adventure,Nexomon,Role Playing,SleepTown: 건강한 수면 습관 익히기,Health & Fitness,포모도로,Productivity,뷰포트 (Viewport),퍼즐,"편한가계부 (+음성, PC)",금융,온더훅 : 더 얼티밋 패트론 에디션,시뮬레이션,NewBorder - 뉴보더 여백의 미,Photo & Video,SleepTown: 건강한 수면 습관 익히기,Health & Fitness,Hidden Folks,Adventure,Dead Cells,기타,Wordmaster 워드마스터 수능 2000(18개정),Education
57,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,Photo & Video,Terraria,어드벤처,GoCamera 소니 PlayMemories 카메라 용,Photo & Video,마녀의 샘,롤플레잉,던전 서바이벌,롤플레잉,Getting Over It with Bennett Foddy,시뮬레이션,LumaFusion,Photo & Video,미니 메트로,시뮬레이션,Hyper Light Drifter,기타,Notability,Productivity,Pirates Outlaws,카드,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처
58,"PLOT - 플롯, 나의 이야기",Photo & Video,워터파크 스토리,시뮬레이션,Phone Doctor Plus,도구,워터파크 스토리,시뮬레이션,iReal Pro ? 음악 책 & 합주,Music,던전공주,롤플레잉,영단어 완전학습 - 사전 & 단어장,Education,Analog Beijing,Photo & Video,워터파크 스토리,시뮬레이션,TouchRetouch,사진,위대한 정복자: 로마,전략,"하루하루 - 필수 시간관리 앱, 위젯으로 간편한 체크",Productivity
59,탐욕의 동굴(The Greedy Cave),롤플레잉,Phone Doctor Plus,도구,Hidden Folks,Adventure,Cytus II (사이터스Ⅱ),음악,GoodNotes 5,Productivity,Kingdom Rush Origins,전략,Analog Acoustic,Photo & Video,Moment - Pro Camera,Photo & Video,Rebel Inc. (반란 주식회사),시뮬레이션,위플 가계부,Finance,히어로언리쉬드,롤플레잉,레이튼 교수와 이상한 마을 HD,어드벤처
60,박코치 학습기,Education,히트맨 스나이퍼 (Hitman Sniper),액션,Florence,퍼즐,Filmica,Photo & Video,Spectre 카메라,Photo & Video,Shadow Of Death: Premium Games,Role Playing,영화공방 스토리,시뮬레이션,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,GoodNotes 5,Productivity,Cytus II (사이터스Ⅱ),음악,AdGuard Pro - adblock and privacy protection,Utilities,NewBorder - 뉴보더 여백의 미,Photo & Video
61,Reigns: 왕좌의 게임,카드,NBA 2K19,스포츠,Terraria,어드벤처,감성공장,Productivity,위젯 캘린더,Lifestyle,위플 가계부,Finance,Poly Bridge,Puzzle,던전메이커,전략,Notability,Productivity,위대한 정복자: 로마,전략,GoodNotes 5,Productivity,마녀의 샘,롤플레잉
62,Night of the Full Moon,전략,Time Timer,Productivity,"하루 계획표, 학교종이",Lifestyle,위플 가계부,Finance,ProCam 2 - 카메라와 사진 / 동영상 에디터,Photo & Video,개념 한국사,교육,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,Photo & Video,Pirates Outlaws,카드,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,Photo & Video,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,미니 메트로,시뮬레이션
63,Mi Band Master,Health & Fitness,위젯 캘린더,Lifestyle,Amazing Frog?,Action,Phone Doctor Plus,도구,Speater (구간반복 어학기 - 노래/음악/동영상/영화/미드 ),Education,Monument Valley,퍼즐,Infinite Flight - 비행 시뮬레이터,시뮬레이션,던전공주,롤플레잉,Journey,Family,FEELT,Photo & Video,SOFTO - Polaroid Camera,기타,Dead Cells,기타
