,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
20,Torque Pro (OBD2 / 자동차),커뮤니케이션,Hi-Fi Status(LG),음악/오디오,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정,어린이를 위한 그리기! 점선 따라 그리기!,교육,Aa십육살™ 한국어 Flipfont,맞춤 설정,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,AirBuds Popup - airpod battery app,음악/오디오,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,교육,Poweramp Full Version Unlocker,음악/오디오,CamScanner (License),생산성,Tasker,도구,µTorrent® Pro - Torrent App,동영상 플레이어/편집기
21,Poweramp Full Version Unlocker,음악/오디오,아날로그 필름 - 옛 향수 가득한 전문가용 사진 필터 앱!,사진,어린이를 위한 그리기! 점선 따라 그리기!,교육,USB Audio Player PRO,음악/오디오,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정,Nova Launcher Prime,맞춤 설정,친일인명사전,도서/참고자료,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,ACR License,생산성,Flashcards Deluxe,교육,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,Puffin Browser Pro,커뮤니케이션
22,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,Torque Pro (OBD2 / 자동차),커뮤니케이션,Poweramp Full Version Unlocker,음악/오디오,데이그램 - 하루 한줄 일기장,라이프스타일,VivaVideo PRO 비디오 편집 HD,동영상 플레이어/편집기,Poweramp Full Version Unlocker,음악/오디오,Nova Launcher Prime,맞춤 설정,CCSWE App Manager Pro License,도구,Flashcards Deluxe,교육,AlpineQuest Off-Road Explorer,여행 및 지역정보,Torque Pro (OBD2 / 자동차),커뮤니케이션,Aa문라이즈™ 한국어 Flipfont,맞춤 설정
23,Hi-Fi Status(LG),음악/오디오,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,"Panda Keymapper 64bit -  Gamepad,mouse,keyboard",도구,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정,노트 카톡테마 - 심플 카톡테마 8.0.0,엔터테인먼트,Tasker,도구,휴가중이다 시바 - 카카오톡 테마,커뮤니케이션,Tasker,도구,무음모드 (순정 무음카메라),도구,AirBuds Popup - airpod battery app,음악/오디오,Flashcards Deluxe,교육,"편한가계부 (+음성, PC)",금융
24,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,Word master 워드마스터 수능 2000(18개정),교육,필름 로지 - Feelm Rosy,사진,통화 녹음 Pro,도구,데이그램 - 하루 한줄 일기장,라이프스타일,Aa십육살™ 한국어 Flipfont,맞춤 설정,Game Booster 🔧 4x Faster (with advance settings),도구,Torque Pro (OBD2 / 자동차),커뮤니케이션,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,"편한가계부 (+음성, PC)",금융,Word master 워드마스터 수능 2000(18개정),교육,USB Audio Player PRO,음악/오디오
25,"편한가계부 (+음성, PC)",금융,Dokk OS 2,엔터테인먼트,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,"책꽂이+ (독서기록, 도서관리)",도서/참고자료,심플 갤러리 Pro,사진,심플 갤러리 Pro,사진,Torque Pro (OBD2 / 자동차),커뮤니케이션,Aa십육살™ 한국어 Flipfont,맞춤 설정,"Panda Keymapper - Gamepad,mouse,keyboard",도구,Poweramp Full Version Unlocker,음악/오디오,Nova Launcher Prime,맞춤 설정,Torque Pro (OBD2 / 자동차),커뮤니케이션
26,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,교육,USB Audio Player PRO,음악/오디오,Stellarium Mobile 하늘지도,교육,토익 PART5 종결자,교육,Sleep as Android Unlock 💤수면 주기를 기록하는 스마트 알람 시계입니다,라이프스타일,노트 카톡테마 - 심플 카톡테마 8.0.0,엔터테인먼트,"편한가계부 (+음성, PC)",금융,Nebo - 노트 작성 기능 향상,생산성,Tasker,도구,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정,Muscle Premium,의료,비밀번호 관리자 SafeInCloud Pro,생산성
27,"동영상 플레이어 KM Pro - HD Player, 4K 비디오 플레이어, 코덱, 자막",동영상 플레이어/편집기,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,MiXplorer Silver - File Manager,생산성,CamCard (명함스캐너 한글 한자 일어 동시인식),비즈니스,어린이를 위한 그리기! 점선 따라 그리기!,교육,VivaVideo PRO 비디오 편집 HD,동영상 플레이어/편집기,데이그램 - 하루 한줄 일기장,라이프스타일,데이그램 - 하루 한줄 일기장,라이프스타일,Word master 워드마스터 수능 2000(18개정),교육,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",생산성,Poweramp Full Version Unlocker,음악/오디오
28,"책꽂이+ (독서기록, 도서관리)",도서/참고자료,"편한가계부 (+음성, PC)",금융,통화 녹음 Pro,도구,"Panda Keymapper 64bit -  Gamepad,mouse,keyboard",도구,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일,개념 한국사,교육,CamCard (명함스캐너 한글 한자 일어 동시인식),비즈니스,Dokk OS 2,엔터테인먼트,Aa십육살™ 한국어 Flipfont,맞춤 설정,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,Toca Hair Salon 3,교육
29,Word master 워드마스터 수능 2000(개정),교육,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,교육,"편한가계부 (+음성, PC)",금융,Poweramp Full Version Unlocker,음악/오디오,20 수특+수완 단어Plus: 빈출 우선 단어 총정리,교육,심플 갤러리 Pro,사진,"편한가계부 (+음성, PC)",금융,WolframAlpha,도서/참고자료,Tasker,도구,"편한가계부 (+음성, PC)",금융,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",생산성
30,Word master 워드마스터 수능 2000(18개정),교육,데이그램 - 하루 한줄 일기장,라이프스타일,주기율표 2020 PRO - 화학,교육,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,통화 녹음 Pro,도구,CamScanner (License),생산성,터치매크로-자동터치,도구,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,CCSWE App Manager Pro License,도구,구닥,사진,VivaVideo PRO 비디오 편집 HD,동영상 플레이어/편집기,Magic DosBox,도구
31,클라우디 필름 - 흐림 필터 완벽 구현!,사진,"케이웨더 날씨Pro(기상청 날씨, 미세먼지, 실내공기)",날씨,USB Audio Player PRO,음악/오디오,개념 한국사,교육,Hi-Fi Status(LG),음악/오디오,USB Audio Player PRO,음악/오디오,"비밀녹음 프로 (Secret Recorder Pro) - 녹음기, 강의녹음, 몰래녹음",도구,20 수특+수완 단어Plus: 빈출 우선 단어 총정리,교육,Aa십육살™ 한국어 Flipfont,맞춤 설정,Sleep as Android Unlock 💤수면 주기를 기록하는 스마트 알람 시계입니다,라이프스타일,데이그램 - 하루 한줄 일기장,라이프스타일,Hi-Fi Status(LG),음악/오디오
32,USB Audio Player PRO,음악/오디오,Word master 워드마스터 수능 2000(개정),교육,데이그램 - 하루 한줄 일기장,라이프스타일,ACR License,생산성,"편한가계부 (+음성, PC)",금융,클라우디 필름 - 흐림 필터 완벽 구현!,사진,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",생산성,구닥,사진,"동영상 플레이어 KM Pro - HD Player, 4K 비디오 플레이어, 코덱, 자막",동영상 플레이어/편집기,무음모드 (순정 무음카메라),도구,WolframAlpha,도서/참고자료,Word Master 워드마스터 중등 실력,교육
33,µTorrent® Pro - Torrent App,동영상 플레이어/편집기,"책꽂이+ (독서기록, 도서관리)",도서/참고자료,ACR License,생산성,Sleep as Android Unlock 💤수면 주기를 기록하는 스마트 알람 시계입니다,라이프스타일,TS 한글 키보드 Pro-천지인2,도구,"비밀녹음 프로 (Secret Recorder Pro) - 녹음기, 강의녹음, 몰래녹음",도구,ProCam X ( HD 카메라 PRO ),사진,Hi-Fi Status(LG),음악/오디오,Magic DosBox,도구,데이그램 - 하루 한줄 일기장,라이프스타일,Hi-Fi Status(LG),음악/오디오,Aa십육살™ 한국어 Flipfont,맞춤 설정
34,Aa폰트의왕™ 한국어 Flipfont,맞춤 설정,네이버 15개국 글로벌회화 Plus-언어별 4000문장,교육,파리 필름 - 평범한 사진에 파리 감성을 듬뿍,사진,Aa십육살™ 한국어 Flipfont,맞춤 설정,네이버 15개국 글로벌회화 Plus-언어별 4000문장,교육,통화 녹음 Pro,도구,CCSWE App Manager Pro License,도구,무음무음 PRO,사진,"편한가계부 (+음성, PC)",금융,한글 달인 - 맞춤법 공부,교육,DiskDigger Pro file recovery,도구,Flashcards Deluxe,교육
35,Word Master 워드마스터 고등 BASIC,교육,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,교육,토익 PART5 종결자,교육,구닥,사진,JC 한국 라디오 Premium,음악/오디오,Hi-Fi Status(LG),음악/오디오,USB Audio Player PRO,음악/오디오,"무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",사진,Hi-Fi Status(LG),음악/오디오,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,Aa십육살™ 한국어 Flipfont,맞춤 설정,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정
36,토익 PART5 종결자,교육,Time Timer Visual Productivity,생산성,APK Editor Pro,도구,CamScanner (License),생산성,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,DiskDigger Pro file recovery,도구,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,Poweramp Full Version Unlocker,음악/오디오,CamCard (명함스캐너 한글 한자 일어 동시인식),비즈니스,VivaVideo PRO 비디오 편집 HD,동영상 플레이어/편집기,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,교육,데이그램 - 하루 한줄 일기장,라이프스타일
37,우와! - 화면을 깨고 동전이 나오는 마술앱!,엔터테인먼트,Magic DosBox,도구,Word master 워드마스터 수능 2000(18개정),교육,DiskDigger Pro file recovery,도구,DiskDigger Pro file recovery,도구,AlpineQuest Off-Road Explorer,여행 및 지역정보,Aa설렘주의™ 한국어 Flipfont,맞춤 설정,USB Audio Player PRO,음악/오디오,8-비트 [테] 아이콘 테마,맞춤 설정,OruxMaps GP,여행 및 지역정보,Magic DosBox,도구,Dokk OS 2,엔터테인먼트
38,통화 녹음 Pro,도구,프라임 영한한영사전,도서/참고자료,Hi-Fi Status(LG),음악/오디오,"비지니스 달력 2 프로 버전 ・캘린더, 스케줄러, 일정관리어플, 달력위젯",생산성,Magic DosBox,도구,Game Booster 🔧 4x Faster (with advance settings),도구,Poweramp Full Version Unlocker,음악/오디오,터치매크로-자동터치,도구,구닥,사진,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정,SimpleMind Pro - Intuitive Mind Mapping,생산성
39,Magic DosBox,도구,통화 녹음 Pro,도구,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,WolframAlpha,도서/참고자료,"책꽂이+ (독서기록, 도서관리)",도서/참고자료,Flashcards Deluxe,교육,Word Master 워드마스터 중등 실력,교육,Word Master 워드마스터 중등 실력,교육,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",생산성,Hi-Fi Status(LG),음악/오디오,"비지니스 달력 2 프로 버전 ・캘린더, 스케줄러, 일정관리어플, 달력위젯",생산성,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화
40,VivaVideo PRO 비디오 편집 HD,동영상 플레이어/편집기,BlockLauncher Pro,도구,아날로그 필름 - 옛 향수 가득한 전문가용 사진 필터 앱!,사진,"동영상 플레이어 KM Pro - HD Player, 4K 비디오 플레이어, 코덱, 자막",동영상 플레이어/편집기,"동영상 플레이어 KM Pro - HD Player, 4K 비디오 플레이어, 코덱, 자막",동영상 플레이어/편집기,터치매크로-자동터치,도구,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,JC 한국 라디오 Premium,음악/오디오,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정,"Panda Keymapper - Gamepad,mouse,keyboard",도구,터치매크로-자동터치,도구,프라임 영한한영사전,도서/참고자료
41,Flashcards Deluxe,교육,CamScanner (License),생산성,픽테일 -  PinkLady,사진,TS 한글 키보드 Pro-천지인2,도구,USB Audio Player PRO,음악/오디오,[UX8] One UI 2 Black LG G8 V50 V40 V30 V20  G6 Pie,맞춤 설정,20 수특+수완 단어Plus: 빈출 우선 단어 총정리,교육,"동영상 플레이어 KM Pro - HD Player, 4K 비디오 플레이어, 코덱, 자막",동영상 플레이어/편집기,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",만화,Threema,커뮤니케이션,Anatomy & Physiology,의료,AirBuds Popup - airpod battery app,음악/오디오
42,BlockLauncher Pro,도구,제트오디오 플러스 - 고해상도 음원 재생 뮤직 플레이어,음악/오디오,Aa폰트의왕™ 한국어 Flipfont,맞춤 설정,아기 울음 알리미 (아기 수면 모니터 & 알람 & 자장가),출산/육아,CamCard (명함스캐너 한글 한자 일어 동시인식),비즈니스,"동영상 플레이어 KM Pro - HD Player, 4K 비디오 플레이어, 코덱, 자막",동영상 플레이어/편집기,"2020 점신PRO : 오늘의 운세, 사주의 완전판",라이프스타일,Stellarium Mobile 하늘지도,교육,"PL@Y 2 - 프리미엄 티켓북 + 포토캘린더 ( 플레이앱, PL@Y2 )",라이프스타일,CamCard (명함스캐너 한글 한자 일어 동시인식),비즈니스,Aa너구리굴림™ 한국어 Flipfont,맞춤 설정,FL Studio Mobile,음악/오디오
43,프라임 영한한영사전,도서/참고자료,365홀딱반했어™ 한국어 Flipfont,맞춤 설정,"동영상 플레이어 KM Pro - HD Player, 4K 비디오 플레이어, 코덱, 자막",동영상 플레이어/편집기,한글 달인 - 맞춤법 공부,교육,픽테일 -  PinkLady,사진,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,그림어원 중학 VOCA Pro,교육,Word Master 워드마스터 고등 BASIC,교육,픽테일 - Limited Edition,사진,Magic DosBox,도구,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",라이프스타일,Aa설렘주의™ 한국어 Flipfont,맞춤 설정
44,심플 갤러리 Pro,사진,TYPO전교일등™ 한국어 Flipfont,맞춤 설정,구닥,사진,Panda Gamepad Pro (BETA),도구,개념 한국사,교육,Aa설렘주의™ 한국어 Flipfont,맞춤 설정,노트 카톡테마 - 심플 카톡테마 8.0.0,엔터테인먼트,Aa설렘주의™ 한국어 Flipfont,맞춤 설정,20 수특+수완 단어Plus: 빈출 우선 단어 총정리,교육,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,FocusTimer Pro - 공부 습관이 바뀌는 앱,생산성,터치매크로-자동터치,도구
45,CamCard (명함스캐너 한글 한자 일어 동시인식),비즈니스,픽테일 -  BlueHawaii,사진,VivaVideo PRO 비디오 편집 HD,동영상 플레이어/편집기,노트 카톡테마 - 심플 카톡테마 8.0.0,엔터테인먼트,Word master 워드마스터 수능 2000(18개정),교육,현대사주 - 현대인을 위한 사주풀이 백과,라이프스타일,Hi-Fi Status(LG),음악/오디오,"책꽂이+ (독서기록, 도서관리)",도서/참고자료,Modern Essentials Korean,Health & Fitness,픽테일 - Limited Edition,사진,Sleep as Android Unlock 💤수면 주기를 기록하는 스마트 알람 시계입니다,라이프스타일,천권읽기Pro - 독서이력 관리,교육
46,데이그램 - 하루 한줄 일기장,라이프스타일,OruxMaps GP,여행 및 지역정보,Notification for Edge Panel,도구,네이버 15개국 글로벌회화 Plus-언어별 4000문장,교육,Panda Gamepad Pro (BETA),도구,CamCard (명함스캐너 한글 한자 일어 동시인식),비즈니스,Tweet2gif Plus,도구,픽테일 - Limited Edition,사진,FiLMiC Pro: 프로 HD 수동 비디오 카메라 어플,사진,우리말 공부,교육,TouchRetouch,사진,Watch Face -WatchMaker Premium for Android Wear OS,맞춤 설정
47,픽테일 -  PinkLady,사진,iReal Pro – 음악책 & 반주,음악/오디오,심플 갤러리 Pro,사진,Aa오월오일™ 한국어 Flipfont,맞춤 설정,Navigation Pro: Google Maps Navi on Samsung Watch,지도/내비게이션,Crypto Tracker Bot,금융,Flashcards Deluxe,교육,Dokk OS 2,엔터테인먼트,AlpineQuest Off-Road Explorer,여행 및 지역정보,Aa폰트의왕™ 한국어 Flipfont,맞춤 설정,"책꽂이+ (독서기록, 도서관리)",도서/참고자료,WolframAlpha,도서/참고자료
48,TS 한글 키보드 Pro-천지인2,도구,한글 달인 - 맞춤법 공부,교육,WolframAlpha,도서/참고자료,Magic DosBox,도구,WolframAlpha,도서/참고자료,무음모드 PRO (기본 카메라 무음),사진,클라우디 필름 - 흐림 필터 완벽 구현!,사진,Flashcards Deluxe,교육,LectureRecordings,생산성,제트오디오 플러스 - 고해상도 음원 재생 뮤직 플레이어,음악/오디오,iReal Pro – 음악책 & 반주,음악/오디오,Aa오월오일™ 한국어 Flipfont,맞춤 설정
